username,review,nilai,sentimen
Prism YT,Tdk bs ubah no hp,2,negatif
Saiful Maarif,"Perihal layanan kai acces sekarang sudah dipermudah, terima kasih kai acces kau datang disaat yg tepat..",5,positif
wahyuning sulistiari,Pertama ribet se cs q gaptek tp dg belajar akhirx beli tiket enak online,4,positif
wahyuning sulistiari,Pertama ribet se cs q gaptek tp dg belajar akhirx beli tiket enak online,4,positif
Nexo Umbro,Apk selalu berhenti knp ya ?,1,negatif
Nexo Umbro,Apk selalu berhenti knp ya ?,1,negatif
Rizal Sahlani,Ga bs daptar Ga ke buka buka udah Be2rapa kali,1,negatif
Rizal Sahlani,Ga bs daptar Ga ke buka buka udah Be2rapa kali,1,negatif
Lugi Ana,"logout sendiri, tolong perbaiki",1,negatif
Inda Puspita,Gak bisa login padahal sudah punya akun.,1,negatif
Inda Puspita,Gak bisa login padahal sudah punya akun.,1,negatif
lokanantazain n,"Aplikasi lambat apalagi dalam pembayaran, sangat disayangkan karena dulu aplikasi ini berjalan dengan baik",1,negatif
Ahmad Deni,"Saya belikan tiket untuk orang tua tapi, karena satu hal batal. Ternyata tidak bisa pembatalan dari aplikasi kalau tidak ada pemilik akun di daftar penumpang. Harus batalin ke stasiun lagi dan jalan lagi. Nggak bisa pakai konfirmasi password aja kah kalau pemilik akun yang mau batalin..hanya saran..",5,positif
Ahmad Deni,"Saya belikan tiket untuk orang tua tapi, karena satu hal batal. Ternyata tidak bisa pembatalan dari aplikasi kalau tidak ada pemilik akun di daftar penumpang. Harus batalin ke stasiun lagi dan jalan lagi. Nggak bisa pakai konfirmasi password aja kah kalau pemilik akun yang mau batalin..hanya saran..",5,positif
M Noer Ichsan,Very good,5,positif
lokanantazain n,"Aplikasi lambat apalagi dalam pembayaran, sangat disayangkan karena dulu aplikasi ini berjalan dengan baik",1,negatif
Ahmad Mawla Mu'minin,Setelah diupdate bugnya parah banget. Selalu force close di pembayaran. Tolong pihak developer aplikasi segera memperbaiki.,1,negatif
Ahmad Mawla Mu'minin,Setelah diupdate bugnya parah banget. Selalu force close di pembayaran. Tolong pihak developer aplikasi segera memperbaiki.,1,negatif
Irfan Heriyanto,Aksesnya lambat,1,negatif
Irfan Heriyanto,Aksesnya lambat,1,negatif
Annisa Araa,Ini kenapa gabisa pesen tiket sii?kenapa kai tidak menanggapi? Darurat😭,1,negatif
Annisa Araa,Ini kenapa gabisa pesen tiket sii?kenapa kai tidak menanggapi? Darurat😭,1,negatif
Haris Maolana,Lemoot,1,negatif
Yavvi Adi Nurrahman,better lah,5,positif
Imam Bukhori,Jos,5,positif
Ratna Pungky,Mantab,5,positif
Azam Zami,Apk cacat,1,negatif
Yonata Defriyanto,"Saya kasih bintang dua karena sekarang malah jadi tambah jelek aplikasinya , di saat saya ingin memilih kursi aplikasinya keluar sendiri",2,negatif
Yonata Defriyanto,"Saya kasih bintang dua karena sekarang malah jadi tambah jelek aplikasinya , di saat saya ingin memilih kursi aplikasinya keluar sendiri",2,negatif
Fajar Fadhilah_089,Kenapa Id KTP saya isinya malah No HP sehingga untuk naik ka Lokal tidak bisa. Saya rubah di prodil idnum already exist. Tapi kalo naik ka antar kota jarak jauh id ktp bisa ngisi sendiri. Di ka lokal sistem langusung membaca kalo Id ktp saya no HP .,1,negatif
Fajar Fadhilah_089,Kenapa Id KTP saya isinya malah No HP sehingga untuk naik ka Lokal tidak bisa. Saya rubah di prodil idnum already exist. Tapi kalo naik ka antar kota jarak jauh id ktp bisa ngisi sendiri. Di ka lokal sistem langusung membaca kalo Id ktp saya no HP .,1,negatif
Dantra Zirada,"Mohon maaf. Tolong untuk pengembang, agar KAIpay nya bisa TERHUBUNG ke pembayaran Farmalab agar pembayaran lebih mudah dan fleksibel serta efisien untuk memudahkan para pengguna tanpa harus keluar ranah pembayaran dari keperluan menggunakan kereta api. Serta di sediakan fitur bayar saat transaksi sedang menunggu pembayaran karena bentroknya pembelian boarding pass atau diberikan pemberitahuan tentang tiket dan nomor duduk sudah dipesan oleh orang lain. Terimakasih.",3,negatif
Dantra Zirada,"Mohon maaf. Tolong untuk pengembang, agar KAIpay nya bisa TERHUBUNG ke pembayaran Farmalab agar pembayaran lebih mudah dan fleksibel serta efisien untuk memudahkan para pengguna tanpa harus keluar ranah pembayaran dari keperluan menggunakan kereta api. Serta di sediakan fitur bayar saat transaksi sedang menunggu pembayaran karena bentroknya pembelian boarding pass atau diberikan pemberitahuan tentang tiket dan nomor duduk sudah dipesan oleh orang lain. Terimakasih.",3,negatif
soe mancing,Di android 9 lemot sekali force close trus🙏🙏,4,negatif
soe mancing,Di android 9 lemot sekali force close trus🙏🙏,4,negatif
Basthotan Haq Al Hanif,Tolonglah no hp g bisa diganti,1,negatif
Basthotan Haq Al Hanif,Tolonglah no hp g bisa diganti,1,negatif
Anindya Ryzki,"Akun saya tidak diverifikasi "" Padahal e-mail sma no telp sudah benar",4,negatif
Anindya Ryzki,"Akun saya tidak diverifikasi "" Padahal e-mail sma no telp sudah benar",4,negatif
zenokemped,Aplikasi tai lag parah,1,negatif
zenokemped,Aplikasi tai lag parah,1,negatif
Ahmada Basyara Zahrah,Lemot anjir aplikasinya,1,negatif
Ahmada Basyara Zahrah,Lemot anjir aplikasinya,1,negatif
Aji Prima Syahid Abdurakhman,"Dear CS and Programer, tolong upgrade untuk pembayaran pemesanan makanan via apps KAI untuk ditambahkan opsi pembayaran cash. Saya mengalami kesulitan dengan 1 hp jika pembayaran hanya ada 2 opsi. Terima kasih.",4,negatif
Hidayatul Badi,Apa2an ini aplikasi nya pas mau klik tinggal melanjutkan pembayaran eh tiba2 aplikasi nya keluar sendiri trs kesel dong. Gimana mau hubungi klo kontak nya 0121 atau apalah itu klo yang boleh bicara operator nya sama aja dong situ ngga tau keluhan kita😭 perbaikiin dong pliss mau pesen jadi dmga bisa kan,3,negatif
Hidayatul Badi,Apa2an ini aplikasi nya pas mau klik tinggal melanjutkan pembayaran eh tiba2 aplikasi nya keluar sendiri trs kesel dong. Gimana mau hubungi klo kontak nya 0121 atau apalah itu klo yang boleh bicara operator nya sama aja dong situ ngga tau keluhan kita😭 perbaikiin dong pliss mau pesen jadi dmga bisa kan,3,negatif
A N Jreng,"kenapa ya akun saya tiba"" keluar dan tidak bisa masuk lagi. mohonbantuannya",5,negatif
Chevy Suteja,Sangat Bagus,5,positif
A N Jreng,"kenapa ya akun saya tiba"" keluar dan tidak bisa masuk lagi. mohonbantuannya",5,negatif
lutfi wijaya,Kenapa jadi lemot sekali buat trx,3,negatif
andika widianto,"Di android ngelag cok, giliran di IOS lancar najis dah mau mesen tiket aja susah",1,negatif
andika widianto,"Di android ngelag cok, giliran di IOS lancar najis dah mau mesen tiket aja susah",1,negatif
Faisal Akbar,Ini kenapa ya pas daftar KAIPAY nya NIK saya sudah digunakan org. Pdhl saya belum pernah daftar dan baru saja tadi install aplikasi nya.,3,negatif
Faisal Akbar,Ini kenapa ya pas daftar KAIPAY nya NIK saya sudah digunakan org. Pdhl saya belum pernah daftar dan baru saja tadi install aplikasi nya.,3,negatif
Fathur Fanani,nit responding terus ngga tau kenapa kayanya masalah UI,1,negatif
Ali Ibrahim,"nyoba dlu,",3,netral
Fathur Fanani,nit responding terus ngga tau kenapa kayanya masalah UI,1,negatif
Dados Chaniago,"Bintang 2 aja, aplikasi lelet bangat",2,negatif
Panca Prasetya,Mudah dan menyenangkan. Tolong utk lbh di update utk ketersediaan kursi penumpangnya. Coz terkadang kursi yg sdh dipesan saat di prakteknya sdh terpakai penumpang lain.,5,positif
Panca Prasetya,Mudah dan menyenangkan. Tolong utk lbh di update utk ketersediaan kursi penumpangnya. Coz terkadang kursi yg sdh dipesan saat di prakteknya sdh terpakai penumpang lain.,5,positif
Dados Chaniago,"Bintang 2 aja, aplikasi lelet bangat",2,negatif
Sri Wanti Dewi Agustin,"Nggemesin, login aja gak bisa. Gak ada keterangan penyebab tidak bisa login kenapa, PHP!!!! Udah coba reset password juga tetep gak bisa, duh!!!! Padahal dulu baik-baik saja, sekarang susah amat buat login!!!! MLZ BGT!!!",1,negatif
Sri Wanti Dewi Agustin,"Nggemesin, login aja gak bisa. Gak ada keterangan penyebab tidak bisa login kenapa, PHP!!!! Udah coba reset password juga tetep gak bisa, duh!!!! Padahal dulu baik-baik saja, sekarang susah amat buat login!!!! MLZ BGT!!!",1,negatif
rafif dwi cahyo,"aplikasi tidak bisa digunakan. booking online niat hati agar tidak perlu mengantre di loket dan bs pesan kapan saja tp justru mempersulit user. setelah ganti interface malah beban di pengguna, lebih baik kembalikan tampilan simple spt dlu.",1,negatif
rafif dwi cahyo,"aplikasi tidak bisa digunakan. booking online niat hati agar tidak perlu mengantre di loket dan bs pesan kapan saja tp justru mempersulit user. setelah ganti interface malah beban di pengguna, lebih baik kembalikan tampilan simple spt dlu.",1,negatif
Devi Linda,"Aplikasi Sekelas BUMN yg ga ada baik2nya.. makin kesini bukan makin membaik, malah lemot minta toling dong jangan mempersulit, ada perbaikan dari sisi aplikasi, sangat menyusahkan",1,negatif
Tarno Vito,Mantap,5,positif
Devi Linda,"Aplikasi Sekelas BUMN yg ga ada baik2nya.. makin kesini bukan makin membaik, malah lemot minta toling dong jangan mempersulit, ada perbaikan dari sisi aplikasi, sangat menyusahkan",1,negatif
nurin nauva,"Kenapa metode pwmbayaranya cuma 2 cara? Mogon di tingkatkan mwnjadi fleksibel..misal bisa via tfer , Ebankibg, atm, dll",2,negatif
nurin nauva,"Kenapa metode pwmbayaranya cuma 2 cara? Mogon di tingkatkan mwnjadi fleksibel..misal bisa via tfer , Ebankibg, atm, dll",2,negatif
Mudrihatul Fadilah,Aplikasi KAI lagi kenapa sih dari bberapa hari lalu gabisa terus untuk pesen tiket. Ke logout sendiri terus pas tiap mau pembayaran.,1,negatif
Mudrihatul Fadilah,Aplikasi KAI lagi kenapa sih dari bberapa hari lalu gabisa terus untuk pesen tiket. Ke logout sendiri terus pas tiap mau pembayaran.,1,negatif
Rois Hadi,"jadi kacau server sibuk melulu, nalah lancaran apl pihak ke 3 nih",5,negatif
Adhityo Firdaus Putra,Adhityofirdaus putra,5,netral
Rizky Taufik,"Pada halaman kepulangan tidak terdapat tampilan, mohon diperbaiki",1,negatif
Aditya Try S,"Masih harus perlu ada peningkatan, aplikasinya sering ngebug. Di klik gabisa.",2,negatif
Aditya Try S,"Masih harus perlu ada peningkatan, aplikasinya sering ngebug. Di klik gabisa.",2,negatif
Dara Mellina Iriantiningrum Putri,Error kok terus-_-,5,negatif
Dara Mellina Iriantiningrum Putri,Error kok terus-_-,5,negatif
Erika santia ayu,Saya ingin mengubah nomor telepon tetapi tidak bisa. Pdhl untuk email dan nomor NIK bisa diubah,2,negatif
Erika santia ayu,Saya ingin mengubah nomor telepon tetapi tidak bisa. Pdhl untuk email dan nomor NIK bisa diubah,2,negatif
Adilah Qurrotu 'Aini,"Aplikasinya sering bug, stlh pilih kursi selalu bug dan force close",3,negatif
M Satya Aziz Zahran,Bagus,5,positif
Classy Home,Dia bisa menunjuk kan ke sopanan,5,positif
Classy Home,Dia bisa menunjuk kan ke sopanan,5,positif
Adilah Qurrotu 'Aini,"Aplikasinya sering bug, stlh pilih kursi selalu bug dan force close",3,negatif
iyyek Chanel,setelah tahun baru 2022 aplikasi ini langsung keluar sendiri udh coba pake hp yg high n semua jenis sinyal sama aja ada tulisan kai acces tidak menanggapi ketika sampe menu pilih kursi,1,negatif
iyyek Chanel,setelah tahun baru 2022 aplikasi ini langsung keluar sendiri udh coba pake hp yg high n semua jenis sinyal sama aja ada tulisan kai acces tidak menanggapi ketika sampe menu pilih kursi,1,negatif
yoga pratama,"entah kenapa gagal"" mulu, udah trlanjur top up kai pai, tp malah nyantol, buat bayar gk bisa, trus apa gunanya kai pai, tolong segera di perbaiki, untuk kemudahan pmbelian tiket, 2 hari masak ada gangguan terus?",1,negatif
Lina Hadi,Pemesanan tiket kereta lebih cepat dan mudah,5,positif
yoga pratama,"entah kenapa gagal"" mulu, udah trlanjur top up kai pai, tp malah nyantol, buat bayar gk bisa, trus apa gunanya kai pai, tolong segera di perbaiki, untuk kemudahan pmbelian tiket, 2 hari masak ada gangguan terus?",1,negatif
M. Iman Nur Rozaq D3,Gimana ini mau boking tiket kok nggk bisa trus kenapa jenis keretanya cuma satu? Kereta lainnya udah pensiun,1,negatif
Bocah cepu Cepu,Mempermudah pemesanan tiket kemana aja,4,positif
Bocah cepu Cepu,Mempermudah pemesanan tiket kemana aja,4,positif
M. Iman Nur Rozaq D3,Gimana ini mau boking tiket kok nggk bisa trus kenapa jenis keretanya cuma satu? Kereta lainnya udah pensiun,1,negatif
hola holi,"pemakaian ribet, tidak bisa ganti nama penumpang, profil paten, tidak bisa memesankan tiket untuk orang lain secara individu",1,negatif
endel santoso,Ganti hp ga bisa log in trus gimana,1,negatif
endel santoso,Ganti hp ga bisa log in trus gimana,1,negatif
Ahri Wal,Dicoba dulu.. Yaa..,2,negatif
Aki Wahono,Praktis tis tis,5,positif
Dany Aziz,Aplikasi freeze terus. Force close terus,1,negatif
Ristanti Ayu,"Ini kenapa ya pada saat transaksi pembayaran lewat KAIPAY gagal terus padahal sudah isi KAIPAY, Pada saat transaksi gagal, saya lihat di kolom tiket ada info selesaikan pembayaran, Lahh sayakan pakai KAIPAY kenapa begitu ya. Saya sudah DM KAI tapi belum di respon lebih lanjut",3,negatif
Ristanti Ayu,"Ini kenapa ya pada saat transaksi pembayaran lewat KAIPAY gagal terus padahal sudah isi KAIPAY, Pada saat transaksi gagal, saya lihat di kolom tiket ada info selesaikan pembayaran, Lahh sayakan pakai KAIPAY kenapa begitu ya. Saya sudah DM KAI tapi belum di respon lebih lanjut",3,negatif
Helang Satrio,Aplikasi lemot,1,negatif
Uwa Erllyn,Pelayanan ok,5,positif
Uwa Erllyn,Pelayanan ok,5,positif
azmi Baharudin yusuf,awesome👍,5,positif
eko pranoto,Bagus,4,positif
Prissma Sayidi,Buat naik kereta lebih aman dan nyaman,5,positif
Prissma Sayidi,Buat naik kereta lebih aman dan nyaman,5,positif
Annas Amanu,Ngefrezee saat pembayaran,3,negatif
Annas Amanu,Ngefrezee saat pembayaran,3,negatif
Muhammad Agusmunanto,Dipersulit trss lol,1,negatif
Alfian Oktario,"Tolong diperbaiki layanan pembayaran kaipaynya, meresahkan sekali buat bayar tiket KAI Ndak bisa, mau instal aplikasi kaspro malah keblokir, tolong dibantu",1,negatif
Alfian Oktario,"Tolong diperbaiki layanan pembayaran kaipaynya, meresahkan sekali buat bayar tiket KAI Ndak bisa, mau instal aplikasi kaspro malah keblokir, tolong dibantu",1,negatif
Nani Yuniati,Ded333e d e2²edward 3t⁵7A777,3,negatif
Joko Suryanto,Good job,5,positif
Novy Ariawati,"saat awal bisa digunakan sampe bisa pemesanan juga, ko skrng untuk mencari jadwal aj malah gak kebuka, setelah di uninstall malah gak bisa buka sama sekali masukin user aj susah",3,negatif
Novy Ariawati,"saat awal bisa digunakan sampe bisa pemesanan juga, ko skrng untuk mencari jadwal aj malah gak kebuka, setelah di uninstall malah gak bisa buka sama sekali masukin user aj susah",3,negatif
Ngapak chanel,Gk bisa pesan tiket nihhh...padahal sudah benar semua akunnya.dulu gampang dan cepat pesannya,1,negatif
Ngapak chanel,Gk bisa pesan tiket nihhh...padahal sudah benar semua akunnya.dulu gampang dan cepat pesannya,1,negatif
Shirot Rosian,Banyak eror,1,negatif
Hanny L Drago,Tidak bisa log in.,1,negatif
laila hidayati,Tak kasih bintang 1 soalnya kesel udah top up KAIpay tp buat bayar ga bisa trus .,1,negatif
Tri Wahyuni,Enak beut,5,positif
laila hidayati,Tak kasih bintang 1 soalnya kesel udah top up KAIpay tp buat bayar ga bisa trus .,1,negatif
fina syafa,"Aplikasinya jelek bgt. Lemot. Kayak berat gitu, mau pesen tiket gagal terus padahal sinyal saya juga bagus. Mohon diperbaiki",1,negatif
fina syafa,"Aplikasinya jelek bgt. Lemot. Kayak berat gitu, mau pesen tiket gagal terus padahal sinyal saya juga bagus. Mohon diperbaiki",1,negatif
Riska Puspita,Gak bisa aktivasi KAIpay,1,negatif
Riska Puspita,Gak bisa aktivasi KAIpay,1,negatif
Arkananta,"Ngga bisa login data diri sendiri. Password sama, no ktp sama, data semua sama. Mau ndaftarin penumpang saya sendiri dengan data yg sama dikatakan data telah dipakai. Kan saya sendiri emang yg pakai",1,negatif
Robertus Krismawan,Sayang agak lambat searchingnya,5,negatif
Robertus Krismawan,Sayang agak lambat searchingnya,5,negatif
Arkananta,"Ngga bisa login data diri sendiri. Password sama, no ktp sama, data semua sama. Mau ndaftarin penumpang saya sendiri dengan data yg sama dikatakan data telah dipakai. Kan saya sendiri emang yg pakai",1,negatif
bojes top,Aplikasi yang paling ribet nomor 1 se indonesia,1,negatif
Mr Nos,"Akhir² ini tidak bisa buat booking tiket, selalu time out karena aplikasinya sangat lemot",1,negatif
Mr Nos,"Akhir² ini tidak bisa buat booking tiket, selalu time out karena aplikasinya sangat lemot",1,negatif
Chlory Dio,"Aplikasi apa sh? Ketik email malah balesannya belum terdaftar, ketik nomor jawabannya sama belum terdaftar, situ lawak bos 😄? Nomer saya sama email saya sama mas mba bro wkwk lucu banget asli ni aplikasi wkwk",1,negatif
Sony Budi Harsono,👍👍👍👍,5,netral
Chlory Dio,"Aplikasi apa sh? Ketik email malah balesannya belum terdaftar, ketik nomor jawabannya sama belum terdaftar, situ lawak bos 😄? Nomer saya sama email saya sama mas mba bro wkwk lucu banget asli ni aplikasi wkwk",1,negatif
Ladyfox_99,Gak iso bayar tiket!,1,negatif
Ladyfox_99,Gak iso bayar tiket!,1,negatif
